 	In Trump's America, will Putin come first? (opinion) - CNN.com	Obama UN rep rips Russia, rejects attack on intel agencies - CNNPolitics.com	Before presidential run, Trump called Russia the 'biggest problem' and geopolitical foe of U.S. - CNNPolitics.com
In Trump's America, will Putin come first? (opinion) - CNN.com	1.0	0.39274564436213555	0.38904938342772216
Obama UN rep rips Russia, rejects attack on intel agencies - CNNPolitics.com	0.39274564436213555	1.0	0.380759157136893
Before presidential run, Trump called Russia the 'biggest problem' and geopolitical foe of U.S. - CNNPolitics.com	0.38904938342772216	0.380759157136893	1.0
